"Category","Title","Animal_Id","Maturity","Price","State","Visibility","Enabled","Sex","Dob","Quantity","Group_Id","Traits","Photo_Urls","Desc","Proven_Breeder","Is_Group","Origin","Prey_State","Prey_Food","Min_Shipping","Max_Shipping","Is_Rep_Photo","Is_Negotiable","Is_For_Trade"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","F3-bibi-mamony2023-09-16","Subadult",349,"For Sale","Public","Active","Female","09-16-2023",1,"bibi-mamony2023-09-16","YBBB Ambilobe","https://ipardalis.com/img/babies/20230916/F3.jpg https://ipardalis.com/img/ambilobe/bibimamony.jpg  https://ipardalis.com/blog/2021/06/20/mamony/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (F3-bibi-mamony2023-09-16) - A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo.

      We've included sire and dam dendrograms, but you can search for bibi or mamony on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","F4-bibi-mamony2023-09-16","Subadult",449,"For Sale","Public","Active","Female","09-16-2023",1,"bibi-mamony2023-09-16","YBBB Ambilobe","https://ipardalis.com/img/babies/20230916/F4.jpg https://ipardalis.com/img/ambilobe/bibimamony.jpg  https://ipardalis.com/blog/2021/06/20/mamony/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (F4-bibi-mamony2023-09-16) - A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo.

      We've included sire and dam dendrograms, but you can search for bibi or mamony on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","F5-bibi-mamony2023-09-16","Subadult",349,"For Sale","Public","Active","Female","09-16-2023",1,"bibi-mamony2023-09-16","YBBB Ambilobe","https://ipardalis.com/img/babies/20230916/F5.jpg https://ipardalis.com/img/ambilobe/bibimamony.jpg  https://ipardalis.com/blog/2021/06/20/mamony/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (F5-bibi-mamony2023-09-16) - A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo.

      We've included sire and dam dendrograms, but you can search for bibi or mamony on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M7-bibi-pepita2023-09-21","Subadult",425,"For Sale","Public","Active","Male","09-21-2023",1,"bibi-pepita2023-09-21","YBBB Ambilobe","https://ipardalis.com/img/babies/20230921/M7.jpg https://ipardalis.com/img/ambilobe/bibipepita.jpg  https://ipardalis.com/blog/2021/12/07/pepita/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M7-bibi-pepita2023-09-21) - A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco.
      We've included sire and dam dendrograms, but you can search for bibi or pepita on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M3-bibi-pepita2023-09-21","Subadult",549,"For Sale","Public","Active","Male","09-21-2023",1,"bibi-pepita2023-09-21","YBBB Ambilobe","https://ipardalis.com/img/babies/20230921/M3_3.jpg https://ipardalis.com/img/ambilobe/bibipepita.jpg  https://ipardalis.com/blog/2021/12/07/pepita/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M3-bibi-pepita2023-09-21) - A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco.
      We've included sire and dam dendrograms, but you can search for bibi or pepita on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M5-bibi-pepita2023-09-21","Subadult",549,"For Sale","Public","Active","Male","09-21-2023",1,"bibi-pepita2023-09-21","YBBB Ambilobe","https://ipardalis.com/img/babies/20230921/M5_3.jpg https://ipardalis.com/img/ambilobe/bibipepita.jpg  https://ipardalis.com/blog/2021/12/07/pepita/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M5-bibi-pepita2023-09-21) - A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco.
      We've included sire and dam dendrograms, but you can search for bibi or pepita on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M6-bibi-pepita2023-09-21","Subadult",549,"For Sale","Public","Active","Male","09-21-2023",1,"bibi-pepita2023-09-21","YBBB Ambilobe","https://ipardalis.com/img/babies/20230921/M6_2.jpg https://ipardalis.com/img/ambilobe/bibipepita.jpg  https://ipardalis.com/blog/2021/12/07/pepita/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M6-bibi-pepita2023-09-21) - A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco.
      We've included sire and dam dendrograms, but you can search for bibi or pepita on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","10 Month-old YBBB Ambilobe Panther Chameleon","M2-dia-vaosary2023-07-05","Adult",549,"For Sale","Public","Active","Male","07-05-2023",1,"dia-vaosary2023-07-05","YBBB Ambilobe","https://ipardalis.com/img/babies/20230629/M2_1.jpg https://ipardalis.com/img/ambilobe/diavaosary.jpg  https://ipardalis.com/blog/2022/01/12/vaosary/tree.png","10 Month-old YBBB Ambilobe Panther Chameleon (M2-dia-vaosary2023-07-05) - One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females.

      We've included sire and dam dendrograms, but you can search for dia or vaosary on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","8 Month-old YBBB Ambilobe Panther Chameleon","M1-dia-vaosary2023-08-28","Subadult",499,"For Sale","Public","Active","Male","08-28-2023",1,"dia-vaosary2023-08-28","YBBB Ambilobe","https://ipardalis.com/img/babies/20230828/M1_1.jpg https://ipardalis.com/img/ambilobe/diavaosary.jpg  https://ipardalis.com/blog/2022/01/12/vaosary/tree.png","8 Month-old YBBB Ambilobe Panther Chameleon (M1-dia-vaosary2023-08-28) - One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females.

      We've included sire and dam dendrograms, but you can search for dia or vaosary on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","8 Month-old YBBB Ambilobe Panther Chameleon","M2-dia-vaosary2023-08-28","Subadult",549,"For Sale","Public","Active","Male","08-28-2023",1,"dia-vaosary2023-08-28","YBBB Ambilobe","https://ipardalis.com/img/babies/20230828/M2.jpg https://ipardalis.com/img/ambilobe/diavaosary.jpg  https://ipardalis.com/blog/2022/01/12/vaosary/tree.png","8 Month-old YBBB Ambilobe Panther Chameleon (M2-dia-vaosary2023-08-28) - One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females.

      We've included sire and dam dendrograms, but you can search for dia or vaosary on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
